,room_id,room_type,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude
74,93437,Entire home/apt,4.5,4.0,1.0,81.0,3.0,38.714195,-9.151498
75,93829,Entire home/apt,5.0,2.0,1.0,70.0,2.0,38.718276,-9.129709
76,95212,Entire home/apt,4.5,,3.0,91.0,2.0,38.707861,-9.152255
77,97007,Entire home/apt,5.0,2.0,1.0,56.0,3.0,38.699273,-9.190648
78,97503,Private room,4.5,1.0,1.0,31.0,4.0,38.720236,-9.143166
79,97805,Private room,5.0,2.0,1.0,31.0,2.0,38.723665,-9.134174
80,98842,Private room,4.5,2.0,1.0,49.0,1.0,38.769743,-9.167753
81,100532,Entire home/apt,5.0,4.0,2.0,70.0,3.0,38.72036,-9.121162
82,105092,Entire home/apt,4.5,4.0,2.0,67.0,4.0,38.712258,-9.126391
83,105962,Entire home/apt,5.0,4.0,1.0,96.0,2.0,38.76372,-9.10383
84,106051,Entire home/apt,4.5,4.0,2.0,97.0,3.0,38.705626,-9.158023
85,108058,Private room,,2.0,1.0,40.0,3.0,38.744919,-9.162986
86,108414,Entire home/apt,5.0,2.0,1.0,84.0,7.0,38.722188,-9.135532
87,110119,Private room,,1.0,1.0,33.0,1.0,38.708473,-9.153921
88,116672,Entire home/apt,5.0,2.0,1.0,49.0,,38.713614,-9.125343
89,117618,Entire home/apt,5.0,4.0,2.0,104.0,3.0,38.716484,-9.120997
90,118653,Entire home/apt,4.0,,2.0,104.0,3.0,38.72074,-9.12197
91,119120,Entire home/apt,5.0,4.0,2.0,67.0,2.0,38.70869,-9.162357
92,120554,Entire home/apt,4.5,,3.0,125.0,2.0,38.715542,-9.125708
93,120586,Entire home/apt,4.0,,3.0,136.0,2.0,38.710496,-9.151435
94,120590,Private room,,1.0,1.0,70.0,1.0,38.734447,-9.12969
95,121181,Private room,5.0,2.0,1.0,56.0,3.0,38.737378,-9.15062
96,122572,Private room,,2.0,1.0,77.0,1.0,38.756223,-9.175062
97,122998,Entire home/apt,4.5,2.0,1.0,84.0,3.0,38.712977,-9.151152
98,124558,Entire home/apt,4.5,,2.0,82.0,3.0,38.712352,-9.137796
99,125431,Entire home/apt,4.5,2.0,1.0,42.0,3.0,38.707718,-9.133243
100,125536,Private room,4.5,2.0,1.0,42.0,2.0,38.712004,-9.137045
101,125578,Entire home/apt,4.5,2.0,1.0,84.0,3.0,38.715019,-9.135398
102,125848,Entire home/apt,4.5,3.0,1.0,63.0,2.0,38.715233,-9.123845
103,126300,Private room,,1.0,1.0,70.0,1.0,38.717056,-9.129029
104,126646,Entire home/apt,4.5,4.0,2.0,29.0,1.0,38.728236,-9.131736
105,126793,Private room,4.5,1.0,1.0,28.0,2.0,38.718398,-9.156519
106,128168,Private room,4.5,1.0,1.0,42.0,1.0,38.705788,-9.174032
107,128196,Private room,4.5,2.0,1.0,35.0,1.0,38.719881,-9.137914
108,129822,Private room,5.0,2.0,1.0,57.0,1.0,38.776078,-9.095126
109,130708,Entire home/apt,4.5,4.0,2.0,49.0,2.0,38.718799,-9.136488
110,131619,Entire home/apt,4.5,4.0,1.0,61.0,2.0,38.721679,-9.137951
111,133645,Entire home/apt,4.5,3.0,1.0,56.0,2.0,38.710785,-9.132233
112,134065,Private room,4.5,2.0,1.0,49.0,3.0,38.710727,-9.138828
113,134438,Entire home/apt,4.5,4.0,1.0,68.0,3.0,38.719553,-9.122895
114,134681,Entire home/apt,4.5,4.0,1.0,84.0,3.0,38.711494,-9.129374
115,135135,Entire home/apt,,,6.0,195.0,1.0,38.72887,-9.137254
116,135261,Entire home/apt,4.5,4.0,2.0,84.0,3.0,38.711036,-9.145506
117,137054,Entire home/apt,4.5,3.0,1.0,56.0,1.0,38.712157,-9.131126
118,137461,Entire home/apt,4.5,2.0,1.0,91.0,7.0,38.713505,-9.145834
119,138929,Entire home/apt,5.0,3.0,1.0,68.0,2.0,38.711363,-9.130368
120,138999,Entire home/apt,5.0,5.0,2.0,104.0,2.0,38.710716,-9.134058
121,140080,Entire home/apt,4.0,,5.0,111.0,2.0,38.712461,-9.143964
122,141912,Entire home/apt,5.0,,3.0,188.0,3.0,38.721436,-9.137137
123,142386,Private room,4.5,2.0,1.0,42.0,2.0,38.727544,-9.134346
124,143802,Entire home/apt,4.5,,3.0,82.0,,38.723353,-9.132969
125,143882,Entire home/apt,,3.0,2.0,696.0,1.0,38.75408,-9.167306
126,143991,Entire home/apt,5.0,,2.0,111.0,3.0,38.710158,-9.129699
127,144851,Entire home/apt,5.0,4.0,1.0,111.0,2.0,38.711032,-9.145717
128,147434,Entire home/apt,4.5,,2.0,138.0,2.0,38.712843,-9.125852
129,147460,Entire home/apt,4.5,,2.0,138.0,2.0,38.71303,-9.125001
130,147473,Entire home/apt,4.5,,2.0,138.0,2.0,38.71324,-9.125295
131,147483,Entire home/apt,5.0,4.0,1.0,91.0,2.0,38.711582,-9.129241
132,147497,Entire home/apt,4.5,4.0,1.0,111.0,3.0,38.714557,-9.134773
133,148511,Entire home/apt,4.5,4.0,1.0,104.0,1.0,38.712624,-9.141558
134,149274,Entire home/apt,5.0,4.0,1.0,70.0,,38.710183,-9.152823
135,149332,Entire home/apt,4.5,2.0,1.0,63.0,3.0,38.71133,-9.128844
136,149589,Entire home/apt,5.0,3.0,1.0,84.0,2.0,38.715475,-9.135368
137,150167,Private room,4.5,2.0,1.0,31.0,1.0,38.719057,-9.13
138,150945,Entire home/apt,4.5,2.0,1.0,63.0,4.0,38.706515,-9.136898
139,151327,Entire home/apt,5.0,4.0,1.0,58.0,2.0,38.711585,-9.128283
140,152757,Entire home/apt,4.5,2.0,1.0,67.0,3.0,38.70847,-9.153221
141,154501,Entire home/apt,4.5,4.0,2.0,187.0,,38.712607,-9.138735
142,155303,Entire home/apt,,2.0,1.0,84.0,4.0,38.729351,-9.11058
143,155342,Private room,5.0,2.0,1.0,49.0,1.0,38.705789,-9.172333
144,155865,Entire home/apt,5.0,,2.0,61.0,2.0,38.704657,-9.178638
145,158255,Entire home/apt,5.0,4.0,2.0,153.0,3.0,38.711427,-9.154534
146,159243,Entire home/apt,5.0,,2.0,125.0,3.0,38.710372,-9.143677
147,159464,Entire home/apt,4.5,,2.0,125.0,3.0,38.710945,-9.145851
148,159473,Entire home/apt,4.5,,2.0,125.0,3.0,38.712894,-9.146084
149,159761,Entire home/apt,4.0,,5.0,278.0,3.0,38.710711,-9.14486
150,161268,Entire home/apt,4.5,,2.0,97.0,1.0,38.71527,-9.144624
151,161293,Entire home/apt,4.5,,2.0,139.0,2.0,38.717188,-9.140028
152,161476,Private room,5.0,2.0,1.0,49.0,1.0,38.714006,-9.135086
153,162533,Entire home/apt,4.5,3.0,1.0,70.0,3.0,38.715106,-9.136914
154,163075,Entire home/apt,4.5,4.0,1.0,167.0,4.0,38.711377,-9.140615
155,165544,Entire home/apt,,3.0,2.0,63.0,3.0,38.754809,-9.195183
156,166098,Entire home/apt,4.5,4.0,2.0,159.0,,38.711417,-9.138199
157,166114,Entire home/apt,4.5,4.0,1.0,97.0,3.0,38.714173,-9.140536
158,166676,Entire home/apt,5.0,2.0,1.0,82.0,3.0,38.708854,-9.14669
159,168227,Entire home/apt,,2.0,1.0,63.0,4.0,38.725594,-9.164002
160,168945,Entire home/apt,5.0,,2.0,81.0,2.0,38.71369,-9.146934
161,170657,Entire home/apt,5.0,4.0,1.0,70.0,3.0,38.707187,-9.161544
162,170853,Private room,,2.0,1.0,21.0,2.0,38.72492,-9.13263
163,172248,Private room,4.5,2.0,1.0,38.0,1.0,38.748424,-9.132345
164,172293,Entire home/apt,5.0,3.0,1.0,139.0,5.0,38.713233,-9.148863
165,172455,Entire home/apt,5.0,4.0,1.0,68.0,,38.71469,-9.137226
166,172638,Entire home/apt,5.0,4.0,1.0,77.0,3.0,38.71336,-9.131075
167,172646,Private room,4.0,2.0,1.0,35.0,2.0,38.719801,-9.137974
168,172715,Entire home/apt,4.5,2.0,1.0,61.0,2.0,38.713997,-9.145544
169,174064,Entire home/apt,5.0,,3.0,118.0,3.0,38.713846,-9.149685
170,174529,Entire home/apt,4.5,4.0,1.0,96.0,1.0,38.719644,-9.133963
171,174850,Private room,5.0,2.0,1.0,47.0,3.0,38.711373,-9.15137
172,174958,Entire home/apt,5.0,4.0,2.0,70.0,1.0,38.720356,-9.168977
173,175940,Private room,4.5,2.0,1.0,49.0,2.0,38.712087,-9.137361
174,176153,Entire home/apt,5.0,4.0,2.0,104.0,1.0,38.708139,-9.143336
175,176668,Entire home/apt,4.5,,2.0,118.0,3.0,38.712129,-9.152692
176,176914,Entire home/apt,4.5,,3.0,132.0,1.0,38.716651,-9.147663
177,178515,Entire home/apt,5.0,,3.0,91.0,3.0,38.709679,-9.132773
178,178524,Entire home/apt,5.0,,3.0,118.0,3.0,38.710555,-9.132478
179,180774,Entire home/apt,4.5,3.0,1.0,49.0,3.0,38.71332,-9.125782
180,181107,Private room,5.0,2.0,1.0,45.0,2.0,38.721558,-9.132658
181,181218,Entire home/apt,4.5,3.0,1.0,56.0,2.0,38.712745,-9.150283
182,184211,Entire home/apt,4.5,,4.0,139.0,4.0,38.734173,-9.149814
183,184888,Entire home/apt,4.5,,2.0,139.0,3.0,38.76796,-9.097624
184,185126,Entire home/apt,4.0,,4.0,251.0,5.0,38.707243,-9.142984
185,186742,Entire home/apt,4.5,4.0,2.0,81.0,3.0,38.709506,-9.144288
186,187059,Entire home/apt,4.5,2.0,0.0,123.0,,38.710661,-9.137808
187,187442,Entire home/apt,5.0,4.0,2.0,82.0,2.0,38.710738,-9.131336
188,187489,Entire home/apt,4.5,2.0,2.0,71.0,4.0,38.746407,-9.181558
189,189676,Entire home/apt,5.0,4.0,1.0,97.0,3.0,38.710386,-9.148244
190,190091,Entire home/apt,5.0,,4.0,167.0,3.0,38.722443,-9.158645
191,193321,Private room,5.0,1.0,1.0,24.0,4.0,38.719819,-9.14255
192,194023,Private room,4.5,,1.0,21.0,3.0,38.718679,-9.161251
193,196195,Entire home/apt,4.5,,2.0,70.0,3.0,38.72823,-9.126688
194,198670,Entire home/apt,4.5,4.0,1.0,91.0,5.0,38.711693,-9.136045
195,199386,Private room,4.5,,1.0,31.0,1.0,38.703098,-9.161961
196,199461,Entire home/apt,5.0,4.0,2.0,132.0,2.0,38.711375,-9.136543
197,201485,Entire home/apt,5.0,4.0,2.0,84.0,2.0,38.71141,-9.13548
198,201878,Entire home/apt,5.0,5.0,2.0,82.0,3.0,38.744873,-9.153959
199,202150,Entire home/apt,5.0,5.0,2.0,63.0,3.0,38.711561,-9.136059
200,202654,Entire home/apt,4.0,2.0,1.0,53.0,2.0,38.706411,-9.212023
201,203167,Entire home/apt,4.5,5.0,1.0,95.0,3.0,38.712779,-9.152054
202,203177,Entire home/apt,4.5,4.0,1.0,77.0,3.0,38.711641,-9.152586
203,203242,Entire home/apt,4.5,2.0,1.0,67.0,3.0,38.712464,-9.152611
204,203287,Private room,5.0,4.0,1.0,77.0,3.0,38.711799,-9.144368
205,203305,Entire home/apt,4.5,2.0,1.0,71.0,3.0,38.71294,-9.145628
206,203771,Entire home/apt,4.5,2.0,1.0,63.0,3.0,38.713413,-9.128862
207,204434,Private room,5.0,2.0,1.0,49.0,3.0,38.714256,-9.126
208,204785,Entire home/apt,4.5,3.0,1.0,74.0,3.0,38.714562,-9.127467
209,205519,Entire home/apt,5.0,5.0,2.0,125.0,3.0,38.714072,-9.145006
210,205532,Entire home/apt,4.5,4.0,1.0,146.0,3.0,38.710424,-9.140957
211,206391,Private room,5.0,2.0,1.0,56.0,,38.723659,-9.1339
212,207476,Entire home/apt,5.0,2.0,1.0,74.0,3.0,38.713187,-9.153289
213,208683,Entire home/apt,4.5,4.0,2.0,70.0,3.0,38.70934,-9.132024
214,210714,Private room,3.0,4.0,1.0,77.0,2.0,38.705129,-9.162346
