host_id,room_type,neighbourhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,date
6503273,Entire home/apt,Estrela,5,4,3,1,41,1,38.704805,-9.163747,21/3/16
22532037,Entire home/apt,Santo António,33,4,4,1,40,2,38.717934,-9.147105,21/3/16
1886436,Entire home/apt,São Vicente,33,5,5,3,88,3,38.719666,-9.131151,21/3/16
18059006,Entire home/apt,Areeiro,6,4.5,4,2,57,3,38.738682,-9.129873,21/3/16
43122479,Entire home/apt,Misericórdia,20,4.5,4,1,50,2,38.712975,-9.143577,21/3/16
717179,Entire home/apt,Santo António,6,3.5,4,1,53,2,38.725488,-9.146128,21/3/16
41242396,Private room,São Vicente,3,3.5,2,1,24,1,38.71989,-9.130959,21/3/16
23663767,Private room,Arroios,4,4.5,1,1,40,1,38.726553,-9.138319,21/3/16
3108083,Private room,Santo António,19,4,3,1,18,1,38.723139,-9.152275,21/3/16
10550381,Entire home/apt,São Vicente,0,3.821327873,3,1,40,2,38.717026,-9.12443,20/3/16
2358059,Entire home/apt,Belém,9,4,3,2,53,2,38.701152,-9.201747,20/3/16
27012059,Entire home/apt,Misericórdia,2,4.5,2,0,35,1,38.71268,-9.144477,20/3/16
3699511,Entire home/apt,Misericórdia,102,4.5,4,2,69,3,38.71321,-9.144807,20/3/16
29202743,Entire home/apt,Parque das Nações,0,3.821327873,3,1,102,3,38.776593,-9.097306,20/3/16
7582930,Private room,Santa Maria Maior,2,4.5,2,1,18,1,38.714928,-9.141517,20/3/16
9505880,Entire home/apt,Arroios,1,4,5,2,75,2,38.724374,-9.133341,20/3/16
40800733,Entire home/apt,Arroios,3,4.5,2,1,75,3,38.719566,-9.137024,20/3/16
20791560,Entire home/apt,Misericórdia,41,4.5,4,2,46,2,38.711245,-9.151516,20/3/16
25455459,Entire home/apt,Penha de França,0,3.821327873,4,2,88,3,38.725969,-9.127473,20/3/16
37758551,Entire home/apt,Santa Maria Maior,0,3.821327873,4,1,81,2,38.716009,-9.139708,20/3/16
19455234,Entire home/apt,Misericórdia,35,4.5,4,2,46,3,38.71185,-9.143467,20/3/16
14759215,Entire home/apt,Santo António,47,5,3,1,58,2,38.724202,-9.148569,20/3/16
11481927,Shared room,São Vicente,2,4,1,1,28,1,38.713841,-9.130053,20/3/16
24485176,Entire home/apt,Santa Maria Maior,49,4.5,4,1,49,3,38.711966,-9.133432,20/3/16
4378227,Entire home/apt,Santa Maria Maior,5,4,4,1,64,5,38.711301,-9.128836,20/3/16
8527659,Entire home/apt,Santa Maria Maior,77,5,2,1,52,3,38.711996,-9.128503,20/3/16
21913668,Entire home/apt,Misericórdia,59,5,4,2,59,1,38.715473,-9.154221,20/3/16
27299841,Entire home/apt,São Vicente,3,4,4,1,46,3,38.718638,-9.128246,20/3/16
10496154,Entire home/apt,Penha de França,25,5,4,1,58,3,38.723497,-9.130929,20/3/16
1312785,Entire home/apt,Santa Maria Maior,1,5,2,0,69,3,38.715524,-9.139877,20/3/16
2976200,Entire home/apt,Avenidas Novas,10,4.5,4,2,79,3,38.735045,-9.15094,20/3/16
19484653,Entire home/apt,Santa Maria Maior,6,4,4,2,58,3,38.718059,-9.134194,20/3/16
146695,Entire home/apt,São Vicente,25,4.5,2,0,46,3,38.71396,-9.12978,20/3/16
27350689,Entire home/apt,Beato,26,5,4,2,68,2,38.735863,-9.121591,20/3/16
19822071,Entire home/apt,Misericórdia,5,5,4,2,93,3,38.710738,-9.14921,20/3/16
3606199,Entire home/apt,Campo de Ourique,31,4.5,4,1,70,2,38.715611,-9.15545,20/3/16
15180709,Entire home/apt,Misericórdia,13,4.5,4,1,35,2,38.710477,-9.15019,20/3/16
4647743,Entire home/apt,Arroios,41,4.5,4,1,39,2,38.720688,-9.134077,20/3/16
11707167,Entire home/apt,Arroios,0,3.821327873,4,1,70,2,38.726845,-9.142385,20/3/16
24706653,Entire home/apt,Misericórdia,23,4.5,4,1,80,2,38.715395,-9.153275,20/3/16
149980,Private room,Estrela,0,3.821327873,1,1,54,1,38.711302,-9.159902,20/3/16
22369649,Entire home/apt,Santa Maria Maior,54,5,3,1,43,3,38.712963,-9.128242,20/3/16
40420284,Private room,Avenidas Novas,2,4.5,2,1,29,2,38.743541,-9.153515,20/3/16
5623430,Entire home/apt,Areeiro,15,4.5,5,3,94,3,38.736514,-9.141412,20/3/16
19905749,Entire home/apt,Misericórdia,12,5,3,0,46,2,38.710107,-9.15023,20/3/16
3953109,Entire home/apt,Penha de França,2,4,2,1,46,4,38.733231,-9.129088,20/3/16
3654081,Entire home/apt,Misericórdia,32,4.5,2,1,58,3,38.714752,-9.151225,20/3/16
19759442,Private room,Arroios,0,3.821327873,2,1,18,1,38.720332,-9.133053,20/3/16
3594221,Private room,Arroios,52,4.5,2,1,35,2,38.723853,-9.133338,20/3/16
3408236,Entire home/apt,São Vicente,1,4,4,1,46,2,38.721778,-9.121558,20/3/16
24937730,Entire home/apt,São Vicente,0,3.821327873,4,2,75,3,38.718339,-9.128365,20/3/16
8901536,Entire home/apt,Avenidas Novas,12,5,4,2,81,3,38.735265,-9.143876,20/3/16
2764994,Entire home/apt,Penha de França,6,5,4,2,70,2,38.730937,-9.130544,20/3/16
8173357,Private room,São Vicente,5,4.5,1,1,20,4,38.719507,-9.13028,20/3/16
691692,Private room,Arroios,4,4.5,2,1,35,2,38.728881,-9.136134,20/3/16
7834288,Entire home/apt,Estrela,89,5,2,1,70,3,38.709881,-9.154177,20/3/16
1277626,Entire home/apt,Santa Maria Maior,67,4.5,4,1,68,1,38.711202,-9.137815,20/3/16
6474940,Entire home/apt,Santa Maria Maior,66,5,4,1,53,1,38.709976,-9.128102,20/3/16
24354251,Entire home/apt,Santa Maria Maior,16,5,2,1,45,2,38.712485,-9.129156,20/3/16
49413468,Entire home/apt,Santo António,0,3.821327873,4,1,58,1,38.723311,-9.145293,20/3/16
21304882,Entire home/apt,São Vicente,5,4.5,5,2,60,2,38.720396,-9.131777,20/3/16
4742491,Entire home/apt,Estrela,98,5,4,1,53,2,38.708001,-9.153938,20/3/16
17883136,Entire home/apt,Arroios,2,5,5,2,81,3,38.715976,-9.139043,20/3/16
14336284,Private room,Arroios,3,4.5,2,1,29,1,38.730945,-9.140848,20/3/16
405842,Entire home/apt,Campolide,3,4.5,3,2,58,15,38.726972,-9.164028,20/3/16
628095,Entire home/apt,Penha de França,0,3.821327873,5,3,58,4,38.727806,-9.129538,20/3/16
3585168,Entire home/apt,Arroios,18,5,2,1,58,2,38.732596,-9.133133,20/3/16
59010273,Private room,Arroios,0,3.821327873,2,1,45,1,38.723084,-9.132546,20/3/16
34944145,Private room,Arroios,1,5,2,1,20,1,38.72595,-9.133875,20/3/16
3953109,Entire home/apt,Estrela,0,3.821327873,4,2,139,3,38.702666,-9.17397,20/3/16
53320272,Private room,Avenidas Novas,0,3.821327873,2,1,29,1,38.73419,-9.149455,20/3/16
14227941,Private room,Arroios,0,3.821327873,2,1,42,1,38.724394,-9.136385,20/3/16
12440310,Private room,Santa Maria Maior,2,5,2,1,34,1,38.712367,-9.142162,20/3/16
5778494,Private room,Penha de França,6,3.5,2,1,40,1,38.732942,-9.127833,20/3/16
2105195,Entire home/apt,São Vicente,3,3,5,2,72,2,38.713744,-9.130259,20/3/16
51316277,Private room,Avenidas Novas,0,3.821327873,2,1,58,1,38.728493,-9.150273,20/3/16
22078192,Entire home/apt,Santa Maria Maior,5,5,4,1,230,1,38.714755,-9.134525,20/3/16
2338052,Private room,Santo António,5,5,1,1,40,1,38.723515,-9.155484,20/3/16
17181556,Private room,Alcântara,2,5,2,1,93,1,38.700342,-9.180594,20/3/16
1714073,Entire home/apt,Santo António,2,5,4,1,48,2,38.719807,-9.141367,20/3/16
19905749,Entire home/apt,Misericórdia,39,5,4,1,79,2,38.716362,-9.152955,20/3/16
2476255,Private room,Misericórdia,5,4.5,2,1,58,2,38.70876,-9.146794,20/3/16
8582707,Entire home/apt,Belém,4,4,3,2,52,5,38.700911,-9.196453,20/3/16
15578909,Private room,Campo de Ourique,0,3.821327873,2,1,35,1,38.719577,-9.16911,20/3/16
4334270,Private room,Santa Maria Maior,28,5,1,1,34,4,38.714453,-9.137901,20/3/16
19729152,Entire home/apt,Arroios,0,3.821327873,4,1,53,2,38.722072,-9.13197,20/3/16
6140990,Private room,Penha de França,0,3.821327873,2,1,75,5,38.737309,-9.129603,20/3/16
520897,Entire home/apt,Misericórdia,6,4.5,4,1,64,2,38.711194,-9.150543,20/3/16
41270403,Private room,Penha de França,0,3.821327873,1,1,28,1,38.727461,-9.130413,20/3/16
11093680,Entire home/apt,Misericórdia,25,4.5,4,2,128,3,38.715816,-9.14847,20/3/16
15125584,Entire home/apt,Misericórdia,1,5,3,1,147,1,38.713171,-9.146759,20/3/16
5471155,Entire home/apt,Campolide,1,3,2,1,30,4,38.729858,-9.164081,20/3/16
7604618,Entire home/apt,Estrela,31,4.5,2,0,37,1,38.70531,-9.170673,20/3/16
51316277,Private room,Avenidas Novas,0,3.821327873,2,1,58,1,38.727904,-9.14849,20/3/16
7935318,Entire home/apt,São Vicente,42,4.5,4,2,39,2,38.713687,-9.130086,20/3/16
15122053,Entire home/apt,São Vicente,31,4.5,5,0,34,2,38.718327,-9.121836,20/3/16
39796613,Private room,Santo António,1,5,1,1,75,1,38.715458,-9.150521,20/3/16
2196259,Private room,Campo de Ourique,0,3.821327873,3,1,46,3,38.721829,-9.158102,20/3/16
2871045,Entire home/apt,São Vicente,134,4.5,4,1,75,2,38.721459,-9.128568,20/3/16
9346594,Entire home/apt,Misericórdia,42,5,4,2,104,3,38.70879,-9.149856,20/3/16
15080218,Private room,Estrela,1,5,1,1,23,3,38.710171,-9.162466,20/3/16
3953109,Entire home/apt,Misericórdia,0,3.821327873,2,0,61,2,38.710519,-9.148638,20/3/16
