is_canceled,lead_time,arrival_date_year
0,6,2015
1,88,2015
1,65,2015
1,92,2015
1,100,2015
1,79,2015
0,3,2015
1,63,2015
1,62,2015
1,62,2015
0,43,2015
0,43,2015
0,43,2015
0,4,2015
1,43,2015
0,43,2015
1,43,2015
0,43,2015
0,43,2015
1,43,2015
1,43,2015
1,97,2015
0,43,2015
0,43,2015
1,80,2015
0,60,2015
1,106,2015
1,68,2015
1,92,2015
0,18,2015
1,71,2015
1,85,2015
1,92,2015
1,75,2015
1,92,2015
1,89,2015
1,100,2015
1,83,2015
1,72,2015
1,111,2015
1,86,2015
1,73,2015
1,92,2015
1,55,2015
0,69,2015
1,76,2015
1,76,2015
1,79,2015
1,61,2015
1,55,2015
1,63,2015
1,63,2015
1,77,2015
0,54,2015
1,90,2015
1,90,2015
1,117,2015
0,6,2015
1,105,2015
0,51,2015
1,97,2015
0,72,2015
1,72,2015
1,61,2015
1,63,2015
1,24,2015
1,89,2015
0,92,2015
1,84,2015
1,65,2015
1,85,2015
1,115,2015
0,67,2015
1,87,2015
1,87,2015
0,71,2015
0,3,2015
0,71,2015
0,3,2015
1,109,2015
0,96,2015
0,96,2015
1,65,2015
1,114,2015
0,96,2015
1,96,2015
0,3,2015
0,61,2015
0,96,2015
0,96,2015
0,3,2015
1,96,2015
1,96,2015
0,96,2015
1,96,2015
0,3,2015
0,96,2015
1,96,2015
1,96,2015
0,96,2015
1,96,2015
0,61,2015
0,3,2015
0,66,2015
0,96,2015
0,96,2015
0,96,2015
0,96,2015
1,96,2015
1,114,2015
0,96,2015
1,96,2015
0,3,2015
0,96,2015
1,96,2015
1,96,2015
1,69,2015
1,59,2015
0,96,2015
1,60,2015
1,122,2015
1,60,2015
1,60,2015
1,60,2015
1,122,2015
1,60,2015
1,123,2015
1,60,2015
1,73,2015
1,77,2015
1,123,2015
1,94,2015
1,120,2015
1,94,2015
1,0,2015
1,79,2015
1,92,2015
1,92,2015
1,125,2015
0,0,2015
1,62,2015
1,109,2015
1,109,2015
1,109,2015
1,80,2015
1,122,2015
1,82,2015
1,82,2015
1,107,2015
0,18,2015
0,18,2015
0,18,2015
0,18,2015
0,18,2015
0,18,2015
0,18,2015
0,18,2015
0,18,2015
0,18,2015
0,18,2015
0,18,2015
0,18,2015
0,18,2015
0,18,2015
0,18,2015
0,18,2015
0,18,2015
0,18,2015
0,18,2015
0,18,2015
1,103,2015
0,103,2015
1,103,2015
0,103,2015
1,103,2015
1,103,2015
1,103,2015
1,103,2015
1,103,2015
0,103,2015
0,103,2015
1,103,2015
1,103,2015
0,103,2015
1,103,2015
1,103,2015
1,103,2015
1,103,2015
1,103,2015
1,103,2015
0,103,2015
1,103,2015
1,103,2015
1,103,2015
0,12,2015
0,12,2015
0,12,2015
1,12,2015
1,12,2015
1,12,2015
1,88,2015
1,12,2015
1,12,2015
0,12,2015
1,12,2015
1,12,2015
0,12,2015
0,12,2015
1,12,2015
1,12,2015
0,12,2015
0,12,2015
1,12,2015
1,12,2015
0,12,2015
1,12,2015
1,12,2015
0,12,2015
1,12,2015
0,12,2015
0,12,2015
1,12,2015
0,12,2015
0,12,2015
1,12,2015
0,12,2015
1,118,2015
1,82,2015
1,82,2015
1,96,2015
1,108,2015
1,119,2015
1,119,2015
0,90,2015
0,62,2015
1,67,2015
1,106,2015
0,20,2015
0,20,2015
0,20,2015
1,22,2015
1,22,2015
0,20,2015
1,20,2015
1,22,2015
1,22,2015
0,20,2015
1,20,2015
1,22,2015
0,20,2015
0,20,2015
0,20,2015
0,20,2015
0,20,2015
0,20,2015
1,22,2015
1,22,2015
0,20,2015
1,20,2015
0,20,2015
1,22,2015
1,22,2015
1,22,2015
0,20,2015
1,20,2015
0,20,2015
0,20,2015
0,20,2015
0,20,2015
1,20,2015
0,20,2015
1,99,2015
1,112,2015
1,69,2015
1,96,2015
1,72,2015
1,69,2015
1,69,2015
1,22,2015
0,20,2015
0,20,2015
0,20,2015
1,22,2015
0,111,2015
